Epoch: 001/200   | Learning Rate 0.001000
Train Auc.: 0.3697 | Test Auc.: 0.3755
Train Loss.: 0.5635 | Test Loss.: 0.5567
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 002/200   | Learning Rate 0.001000
Train Auc.: 0.0626 | Test Auc.: 0.0653
Train Loss.: 14.6559 | Test Loss.: 14.7486
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 003/200   | Learning Rate 0.001000
Train Auc.: 0.9169 | Test Auc.: 0.9146
Train Loss.: 4.3361 | Test Loss.: 4.3299
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 004/200   | Learning Rate 0.001000
Train Auc.: 0.9222 | Test Auc.: 0.9202
Train Loss.: 3.9248 | Test Loss.: 3.9218
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 005/200   | Learning Rate 0.001000
Train Auc.: 0.8310 | Test Auc.: 0.8295
Train Loss.: 0.6942 | Test Loss.: 0.6864
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 006/200   | Learning Rate 0.001000
Train Auc.: 0.0740 | Test Auc.: 0.0790
Train Loss.: 0.4308 | Test Loss.: 0.4328
Train Acc.: 0.5027 | Test Acc.: 0.4968
Epoch: 007/200   | Learning Rate 0.001000
Train Auc.: 0.0741 | Test Auc.: 0.0770
Train Loss.: 0.4640 | Test Loss.: 0.4680
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 008/200   | Learning Rate 0.001000
Train Auc.: 0.8284 | Test Auc.: 0.8224
Train Loss.: 0.7482 | Test Loss.: 0.7414
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 009/200   | Learning Rate 0.001000
Train Auc.: 0.8811 | Test Auc.: 0.8799
Train Loss.: 1.3635 | Test Loss.: 1.3517
Train Acc.: 0.0267 | Test Acc.: 0.0269
Epoch: 010/200   | Learning Rate 0.001000
Train Auc.: 0.1276 | Test Auc.: 0.1291
Train Loss.: 0.3786 | Test Loss.: 0.3813
Train Acc.: 0.5028 | Test Acc.: 0.4967
Epoch: 011/200   | Learning Rate 0.001000
Train Auc.: 0.0988 | Test Auc.: 0.0993
Train Loss.: 1.3646 | Test Loss.: 1.3801
Train Acc.: 0.4373 | Test Acc.: 0.4301
Epoch: 012/200   | Learning Rate 0.001000
Train Auc.: 0.8151 | Test Auc.: 0.8110
Train Loss.: 0.5205 | Test Loss.: 0.5143
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 013/200   | Learning Rate 0.001000
Train Auc.: 0.9195 | Test Auc.: 0.9189
Train Loss.: 1.1548 | Test Loss.: 1.1464
Train Acc.: 0.1046 | Test Acc.: 0.1068
Epoch: 014/200   | Learning Rate 0.001000
Train Auc.: 0.2164 | Test Auc.: 0.2277
Train Loss.: 0.5867 | Test Loss.: 0.5900
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 015/200   | Learning Rate 0.001000
Train Auc.: 0.3903 | Test Auc.: 0.3936
Train Loss.: 0.9051 | Test Loss.: 0.9134
Train Acc.: 0.4997 | Test Acc.: 0.4933
Epoch: 016/200   | Learning Rate 0.001000
Train Auc.: 0.9256 | Test Auc.: 0.9223
Train Loss.: 0.7796 | Test Loss.: 0.7736
Train Acc.: 0.4280 | Test Acc.: 0.4289
Epoch: 017/200   | Learning Rate 0.001000
Train Auc.: 0.9220 | Test Auc.: 0.9197
Train Loss.: 0.6637 | Test Loss.: 0.6576
Train Acc.: 0.4873 | Test Acc.: 0.4930
Epoch: 018/200   | Learning Rate 0.001000
Train Auc.: 0.5204 | Test Auc.: 0.5120
Train Loss.: 0.6540 | Test Loss.: 0.6595
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 019/200   | Learning Rate 0.001000
Train Auc.: 0.5597 | Test Auc.: 0.5585
Train Loss.: 0.5274 | Test Loss.: 0.5329
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 020/200   | Learning Rate 0.001000
Train Auc.: 0.9239 | Test Auc.: 0.9206
Train Loss.: 0.3778 | Test Loss.: 0.3752
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 021/200   | Learning Rate 0.001000
Train Auc.: 0.9269 | Test Auc.: 0.9220
Train Loss.: 0.5605 | Test Loss.: 0.5580
Train Acc.: 0.4819 | Test Acc.: 0.4887
Epoch: 022/200   | Learning Rate 0.001000
Train Auc.: 0.8438 | Test Auc.: 0.8367
Train Loss.: 0.2083 | Test Loss.: 0.2107
Train Acc.: 0.6589 | Test Acc.: 0.6498
Epoch: 023/200   | Learning Rate 0.001000
Train Auc.: 0.6552 | Test Auc.: 0.6627
Train Loss.: 0.5415 | Test Loss.: 0.5452
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 024/200   | Learning Rate 0.001000
Train Auc.: 0.8541 | Test Auc.: 0.8509
Train Loss.: 0.2153 | Test Loss.: 0.2177
Train Acc.: 0.5978 | Test Acc.: 0.5921
Epoch: 025/200   | Learning Rate 0.001000
Train Auc.: 0.9241 | Test Auc.: 0.9223
Train Loss.: 0.4044 | Test Loss.: 0.4014
Train Acc.: 0.4966 | Test Acc.: 0.5030
Epoch: 026/200   | Learning Rate 0.001000
Train Auc.: 0.9223 | Test Auc.: 0.9166
Train Loss.: 0.3395 | Test Loss.: 0.3391
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 027/200   | Learning Rate 0.001000
Train Auc.: 0.8776 | Test Auc.: 0.8726
Train Loss.: 0.2054 | Test Loss.: 0.2082
Train Acc.: 0.6301 | Test Acc.: 0.6295
Epoch: 028/200   | Learning Rate 0.001000
Train Auc.: 0.8379 | Test Auc.: 0.8353
Train Loss.: 0.3653 | Test Loss.: 0.3680
Train Acc.: 0.5033 | Test Acc.: 0.4970
Epoch: 029/200   | Learning Rate 0.001000
Train Auc.: 0.8914 | Test Auc.: 0.8843
Train Loss.: 0.1807 | Test Loss.: 0.1834
Train Acc.: 0.7290 | Test Acc.: 0.7215
Epoch: 030/200   | Learning Rate 0.001000
Train Auc.: 0.9231 | Test Auc.: 0.9219
Train Loss.: 0.2577 | Test Loss.: 0.2573
Train Acc.: 0.5395 | Test Acc.: 0.5471
Epoch: 031/200   | Learning Rate 0.001000
Train Auc.: 0.9248 | Test Auc.: 0.9227
Train Loss.: 0.3373 | Test Loss.: 0.3359
Train Acc.: 0.4976 | Test Acc.: 0.5037
Epoch: 032/200   | Learning Rate 0.001000
Train Auc.: 0.9053 | Test Auc.: 0.8987
Train Loss.: 0.1481 | Test Loss.: 0.1511
Train Acc.: 0.8290 | Test Acc.: 0.8175
Epoch: 033/200   | Learning Rate 0.001000
Train Auc.: 0.8806 | Test Auc.: 0.8787
Train Loss.: 0.2616 | Test Loss.: 0.2651
Train Acc.: 0.5229 | Test Acc.: 0.5163
Epoch: 034/200   | Learning Rate 0.001000
Train Auc.: 0.8799 | Test Auc.: 0.8693
Train Loss.: 0.2349 | Test Loss.: 0.2398
Train Acc.: 0.5572 | Test Acc.: 0.5544
Epoch: 035/200   | Learning Rate 0.001000
Train Auc.: 0.9048 | Test Auc.: 0.9013
Train Loss.: 0.1539 | Test Loss.: 0.1548
Train Acc.: 0.8250 | Test Acc.: 0.8223
Epoch: 036/200   | Learning Rate 0.001000
Train Auc.: 0.9283 | Test Auc.: 0.9265
Train Loss.: 0.2324 | Test Loss.: 0.2319
Train Acc.: 0.5624 | Test Acc.: 0.5677
Epoch: 037/200   | Learning Rate 0.001000
Train Auc.: 0.9194 | Test Auc.: 0.9153
Train Loss.: 0.1921 | Test Loss.: 0.1929
Train Acc.: 0.6953 | Test Acc.: 0.6937
Epoch: 038/200   | Learning Rate 0.001000
Train Auc.: 0.9166 | Test Auc.: 0.9111
Train Loss.: 0.1344 | Test Loss.: 0.1374
Train Acc.: 0.8361 | Test Acc.: 0.8286
Epoch: 039/200   | Learning Rate 0.001000
Train Auc.: 0.9030 | Test Auc.: 0.8973
Train Loss.: 0.1945 | Test Loss.: 0.1972
Train Acc.: 0.6895 | Test Acc.: 0.6829
Epoch: 040/200   | Learning Rate 0.001000
Train Auc.: 0.9002 | Test Auc.: 0.8983
Train Loss.: 0.1673 | Test Loss.: 0.1686
Train Acc.: 0.7606 | Test Acc.: 0.7561
Epoch: 041/200   | Learning Rate 0.001000
Train Auc.: 0.9182 | Test Auc.: 0.9173
Train Loss.: 0.1320 | Test Loss.: 0.1328
Train Acc.: 0.8420 | Test Acc.: 0.8400
Epoch: 042/200   | Learning Rate 0.001000
Train Auc.: 0.9206 | Test Auc.: 0.9180
Train Loss.: 0.1677 | Test Loss.: 0.1689
Train Acc.: 0.7544 | Test Acc.: 0.7513
Epoch: 043/200   | Learning Rate 0.001000
Train Auc.: 0.9252 | Test Auc.: 0.9252
Train Loss.: 0.1628 | Test Loss.: 0.1620
Train Acc.: 0.7713 | Test Acc.: 0.7731
Epoch: 044/200   | Learning Rate 0.001000
Train Auc.: 0.9142 | Test Auc.: 0.9171
Train Loss.: 0.1359 | Test Loss.: 0.1351
Train Acc.: 0.8314 | Test Acc.: 0.8316
Epoch: 045/200   | Learning Rate 0.001000
Train Auc.: 0.9160 | Test Auc.: 0.9098
Train Loss.: 0.1590 | Test Loss.: 0.1624
Train Acc.: 0.7666 | Test Acc.: 0.7616
Epoch: 046/200   | Learning Rate 0.001000
Train Auc.: 0.9130 | Test Auc.: 0.9103
Train Loss.: 0.1548 | Test Loss.: 0.1574
Train Acc.: 0.7783 | Test Acc.: 0.7728
Epoch: 047/200   | Learning Rate 0.001000
Train Auc.: 0.9232 | Test Auc.: 0.9188
Train Loss.: 0.1294 | Test Loss.: 0.1316
Train Acc.: 0.8415 | Test Acc.: 0.8327
Epoch: 048/200   | Learning Rate 0.001000
Train Auc.: 0.9304 | Test Auc.: 0.9276
Train Loss.: 0.1369 | Test Loss.: 0.1386
Train Acc.: 0.8277 | Test Acc.: 0.8243
Epoch: 049/200   | Learning Rate 0.001000
Train Auc.: 0.9248 | Test Auc.: 0.9225
Train Loss.: 0.1392 | Test Loss.: 0.1399
Train Acc.: 0.8163 | Test Acc.: 0.8161
Epoch: 050/200   | Learning Rate 0.001000
Train Auc.: 0.9277 | Test Auc.: 0.9254
Train Loss.: 0.1205 | Test Loss.: 0.1225
Train Acc.: 0.8504 | Test Acc.: 0.8446
Epoch: 051/200   | Learning Rate 0.001000
Train Auc.: 0.9267 | Test Auc.: 0.9220
Train Loss.: 0.1257 | Test Loss.: 0.1293
Train Acc.: 0.8261 | Test Acc.: 0.8169
Epoch: 052/200   | Learning Rate 0.001000
Train Auc.: 0.9148 | Test Auc.: 0.9128
Train Loss.: 0.1512 | Test Loss.: 0.1537
Train Acc.: 0.8022 | Test Acc.: 0.7966
Epoch: 053/200   | Learning Rate 0.001000
Train Auc.: 0.9322 | Test Auc.: 0.9286
Train Loss.: 0.1131 | Test Loss.: 0.1157
Train Acc.: 0.8562 | Test Acc.: 0.8473
Epoch: 054/200   | Learning Rate 0.001000
Train Auc.: 0.9301 | Test Auc.: 0.9243
Train Loss.: 0.1402 | Test Loss.: 0.1446
Train Acc.: 0.8221 | Test Acc.: 0.8157
Epoch: 055/200   | Learning Rate 0.001000
Train Auc.: 0.9307 | Test Auc.: 0.9283
Train Loss.: 0.1303 | Test Loss.: 0.1323
Train Acc.: 0.8344 | Test Acc.: 0.8294
Epoch: 056/200   | Learning Rate 0.001000
Train Auc.: 0.9289 | Test Auc.: 0.9247
Train Loss.: 0.1174 | Test Loss.: 0.1203
Train Acc.: 0.8445 | Test Acc.: 0.8402
Epoch: 057/200   | Learning Rate 0.001000
Train Auc.: 0.9266 | Test Auc.: 0.9213
Train Loss.: 0.1403 | Test Loss.: 0.1440
Train Acc.: 0.8053 | Test Acc.: 0.7971
Epoch: 058/200   | Learning Rate 0.001000
Train Auc.: 0.9274 | Test Auc.: 0.9232
Train Loss.: 0.1255 | Test Loss.: 0.1294
Train Acc.: 0.8367 | Test Acc.: 0.8269
Epoch: 059/200   | Learning Rate 0.001000
Train Auc.: 0.9333 | Test Auc.: 0.9305
Train Loss.: 0.1284 | Test Loss.: 0.1301
Train Acc.: 0.8423 | Test Acc.: 0.8395
Epoch: 060/200   | Learning Rate 0.001000
Train Auc.: 0.9331 | Test Auc.: 0.9304
Train Loss.: 0.1251 | Test Loss.: 0.1277
Train Acc.: 0.8471 | Test Acc.: 0.8406
Epoch: 061/200   | Learning Rate 0.001000
Train Auc.: 0.9302 | Test Auc.: 0.9273
Train Loss.: 0.1188 | Test Loss.: 0.1209
Train Acc.: 0.8521 | Test Acc.: 0.8460
Epoch: 062/200   | Learning Rate 0.001000
Train Auc.: 0.9299 | Test Auc.: 0.9250
Train Loss.: 0.1220 | Test Loss.: 0.1261
Train Acc.: 0.8418 | Test Acc.: 0.8367
Epoch: 063/200   | Learning Rate 0.001000
Train Auc.: 0.9331 | Test Auc.: 0.9286
Train Loss.: 0.1154 | Test Loss.: 0.1187
Train Acc.: 0.8470 | Test Acc.: 0.8404
Epoch: 064/200   | Learning Rate 0.001000
Train Auc.: 0.9309 | Test Auc.: 0.9283
Train Loss.: 0.1240 | Test Loss.: 0.1260
Train Acc.: 0.8425 | Test Acc.: 0.8386
Epoch: 065/200   | Learning Rate 0.001000
Train Auc.: 0.9361 | Test Auc.: 0.9331
Train Loss.: 0.1229 | Test Loss.: 0.1259
Train Acc.: 0.8516 | Test Acc.: 0.8439
Epoch: 066/200   | Learning Rate 0.001000
Train Auc.: 0.9305 | Test Auc.: 0.9252
Train Loss.: 0.1535 | Test Loss.: 0.1563
Train Acc.: 0.7997 | Test Acc.: 0.7956
Epoch: 067/200   | Learning Rate 0.001000
Train Auc.: 0.9284 | Test Auc.: 0.9247
Train Loss.: 0.1169 | Test Loss.: 0.1194
Train Acc.: 0.8473 | Test Acc.: 0.8413
Epoch: 068/200   | Learning Rate 0.001000
Train Auc.: 0.9284 | Test Auc.: 0.9240
Train Loss.: 0.1431 | Test Loss.: 0.1463
Train Acc.: 0.8131 | Test Acc.: 0.8071
Epoch: 069/200   | Learning Rate 0.001000
Train Auc.: 0.9291 | Test Auc.: 0.9265
Train Loss.: 0.1205 | Test Loss.: 0.1223
Train Acc.: 0.8419 | Test Acc.: 0.8388
Epoch: 070/200   | Learning Rate 0.001000
Train Auc.: 0.9337 | Test Auc.: 0.9286
Train Loss.: 0.1183 | Test Loss.: 0.1220
Train Acc.: 0.8555 | Test Acc.: 0.8501
Epoch: 071/200   | Learning Rate 0.001000
Train Auc.: 0.9294 | Test Auc.: 0.9246
Train Loss.: 0.1296 | Test Loss.: 0.1333
Train Acc.: 0.8405 | Test Acc.: 0.8329
Epoch: 072/200   | Learning Rate 0.001000
Train Auc.: 0.9350 | Test Auc.: 0.9303
Train Loss.: 0.1189 | Test Loss.: 0.1215
Train Acc.: 0.8498 | Test Acc.: 0.8423
Epoch: 073/200   | Learning Rate 0.001000
Train Auc.: 0.9265 | Test Auc.: 0.9233
Train Loss.: 0.1272 | Test Loss.: 0.1301
Train Acc.: 0.8414 | Test Acc.: 0.8309
Epoch: 074/200   | Learning Rate 0.001000
Train Auc.: 0.9324 | Test Auc.: 0.9304
Train Loss.: 0.1277 | Test Loss.: 0.1302
Train Acc.: 0.8265 | Test Acc.: 0.8240
Epoch: 075/200   | Learning Rate 0.001000
Train Auc.: 0.9328 | Test Auc.: 0.9303
Train Loss.: 0.1125 | Test Loss.: 0.1149
Train Acc.: 0.8584 | Test Acc.: 0.8541
Epoch: 076/200   | Learning Rate 0.001000
Train Auc.: 0.9366 | Test Auc.: 0.9347
Train Loss.: 0.1284 | Test Loss.: 0.1300
Train Acc.: 0.8368 | Test Acc.: 0.8327
Epoch: 077/200   | Learning Rate 0.001000
Train Auc.: 0.9292 | Test Auc.: 0.9255
Train Loss.: 0.1156 | Test Loss.: 0.1185
Train Acc.: 0.8553 | Test Acc.: 0.8493
Epoch: 078/200   | Learning Rate 0.001000
Train Auc.: 0.9345 | Test Auc.: 0.9303
Train Loss.: 0.1108 | Test Loss.: 0.1140
Train Acc.: 0.8577 | Test Acc.: 0.8495
Epoch: 079/200   | Learning Rate 0.001000
Train Auc.: 0.9309 | Test Auc.: 0.9269
Train Loss.: 0.1157 | Test Loss.: 0.1187
Train Acc.: 0.8575 | Test Acc.: 0.8511
Epoch: 080/200   | Learning Rate 0.001000
Train Auc.: 0.9313 | Test Auc.: 0.9279
Train Loss.: 0.1193 | Test Loss.: 0.1222
Train Acc.: 0.8436 | Test Acc.: 0.8387
Epoch: 081/200   | Learning Rate 0.001000
Train Auc.: 0.9308 | Test Auc.: 0.9287
Train Loss.: 0.1169 | Test Loss.: 0.1185
Train Acc.: 0.8530 | Test Acc.: 0.8518
Epoch: 082/200   | Learning Rate 0.001000
Train Auc.: 0.9349 | Test Auc.: 0.9318
Train Loss.: 0.1119 | Test Loss.: 0.1143
Train Acc.: 0.8599 | Test Acc.: 0.8520
Epoch: 083/200   | Learning Rate 0.001000
Train Auc.: 0.9336 | Test Auc.: 0.9290
Train Loss.: 0.1107 | Test Loss.: 0.1141
Train Acc.: 0.8572 | Test Acc.: 0.8505
Epoch: 084/200   | Learning Rate 0.001000
Train Auc.: 0.9365 | Test Auc.: 0.9323
Train Loss.: 0.1105 | Test Loss.: 0.1135
Train Acc.: 0.8641 | Test Acc.: 0.8538
Epoch: 085/200   | Learning Rate 0.001000
Train Auc.: 0.9341 | Test Auc.: 0.9308
Train Loss.: 0.1101 | Test Loss.: 0.1128
Train Acc.: 0.8539 | Test Acc.: 0.8501
Epoch: 086/200   | Learning Rate 0.001000
Train Auc.: 0.9345 | Test Auc.: 0.9292
Train Loss.: 0.1123 | Test Loss.: 0.1159
Train Acc.: 0.8553 | Test Acc.: 0.8485
Epoch: 087/200   | Learning Rate 0.001000
Train Auc.: 0.9333 | Test Auc.: 0.9311
Train Loss.: 0.1118 | Test Loss.: 0.1139
Train Acc.: 0.8520 | Test Acc.: 0.8503
Epoch: 088/200   | Learning Rate 0.001000
Train Auc.: 0.9383 | Test Auc.: 0.9339
Train Loss.: 0.1082 | Test Loss.: 0.1117
Train Acc.: 0.8651 | Test Acc.: 0.8570
Epoch: 089/200   | Learning Rate 0.001000
Train Auc.: 0.9364 | Test Auc.: 0.9298
Train Loss.: 0.1107 | Test Loss.: 0.1156
Train Acc.: 0.8620 | Test Acc.: 0.8536
Epoch: 090/200   | Learning Rate 0.001000
Train Auc.: 0.9363 | Test Auc.: 0.9317
Train Loss.: 0.1109 | Test Loss.: 0.1140
Train Acc.: 0.8625 | Test Acc.: 0.8572
Epoch: 091/200   | Learning Rate 0.001000
Train Auc.: 0.9354 | Test Auc.: 0.9315
Train Loss.: 0.1097 | Test Loss.: 0.1131
Train Acc.: 0.8626 | Test Acc.: 0.8537
Epoch: 092/200   | Learning Rate 0.001000
Train Auc.: 0.9316 | Test Auc.: 0.9295
Train Loss.: 0.1130 | Test Loss.: 0.1148
Train Acc.: 0.8572 | Test Acc.: 0.8509
Epoch: 093/200   | Learning Rate 0.001000
Train Auc.: 0.9354 | Test Auc.: 0.9316
Train Loss.: 0.1097 | Test Loss.: 0.1128
Train Acc.: 0.8624 | Test Acc.: 0.8549
Epoch: 094/200   | Learning Rate 0.001000
Train Auc.: 0.9312 | Test Auc.: 0.9295
Train Loss.: 0.1234 | Test Loss.: 0.1257
Train Acc.: 0.8461 | Test Acc.: 0.8397
Epoch: 095/200   | Learning Rate 0.001000
Train Auc.: 0.9393 | Test Auc.: 0.9355
Train Loss.: 0.1103 | Test Loss.: 0.1135
Train Acc.: 0.8625 | Test Acc.: 0.8580
Epoch: 096/200   | Learning Rate 0.001000
Train Auc.: 0.9381 | Test Auc.: 0.9342
Train Loss.: 0.1185 | Test Loss.: 0.1218
Train Acc.: 0.8535 | Test Acc.: 0.8492
Epoch: 097/200   | Learning Rate 0.001000
Train Auc.: 0.9357 | Test Auc.: 0.9301
Train Loss.: 0.1138 | Test Loss.: 0.1179
Train Acc.: 0.8571 | Test Acc.: 0.8522
Epoch: 098/200   | Learning Rate 0.001000
Train Auc.: 0.9303 | Test Auc.: 0.9262
Train Loss.: 0.1140 | Test Loss.: 0.1171
Train Acc.: 0.8576 | Test Acc.: 0.8499
Epoch: 099/200   | Learning Rate 0.001000
Train Auc.: 0.9326 | Test Auc.: 0.9308
Train Loss.: 0.1221 | Test Loss.: 0.1237
Train Acc.: 0.8375 | Test Acc.: 0.8310
Epoch: 100/200   | Learning Rate 0.001000
Train Auc.: 0.9344 | Test Auc.: 0.9286
Train Loss.: 0.1340 | Test Loss.: 0.1391
Train Acc.: 0.8216 | Test Acc.: 0.8121
Epoch: 101/200   | Learning Rate 0.000900
Train Auc.: 0.9387 | Test Auc.: 0.9353
