Epoch: 001/200   | Learning Rate 0.001000
Train Auc.: 0.5206 | Test Auc.: 0.5123
Train Loss.: 0.3880 | Test Loss.: 0.3839
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 002/200   | Learning Rate 0.001000
Train Auc.: 0.0684 | Test Auc.: 0.0710
Train Loss.: 151.4090 | Test Loss.: 152.3716
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 003/200   | Learning Rate 0.001000
Train Auc.: 0.9374 | Test Auc.: 0.9353
Train Loss.: 99.3696 | Test Loss.: 99.6370
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 004/200   | Learning Rate 0.001000
Train Auc.: 0.9354 | Test Auc.: 0.9324
Train Loss.: 39.2273 | Test Loss.: 39.4213
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 005/200   | Learning Rate 0.001000
Train Auc.: 0.6683 | Test Auc.: 0.6689
Train Loss.: 0.2691 | Test Loss.: 0.2668
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 006/200   | Learning Rate 0.001000
Train Auc.: 0.0893 | Test Auc.: 0.0899
Train Loss.: 8.2654 | Test Loss.: 8.2971
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 007/200   | Learning Rate 0.001000
Train Auc.: 0.1063 | Test Auc.: 0.1161
Train Loss.: 1.2715 | Test Loss.: 1.2830
Train Acc.: 0.4621 | Test Acc.: 0.4523
Epoch: 008/200   | Learning Rate 0.001000
Train Auc.: 0.9341 | Test Auc.: 0.9280
Train Loss.: 21.3428 | Test Loss.: 21.3318
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 009/200   | Learning Rate 0.001000
Train Auc.: 0.9294 | Test Auc.: 0.9268
Train Loss.: 15.7475 | Test Loss.: 15.7416
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 010/200   | Learning Rate 0.001000
Train Auc.: 0.3054 | Test Auc.: 0.3069
Train Loss.: 1.0152 | Test Loss.: 1.0305
Train Acc.: 0.4736 | Test Acc.: 0.4658
Epoch: 011/200   | Learning Rate 0.001000
Train Auc.: 0.1032 | Test Auc.: 0.1040
Train Loss.: 18.1461 | Test Loss.: 18.1902
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 012/200   | Learning Rate 0.001000
Train Auc.: 0.2707 | Test Auc.: 0.2785
Train Loss.: 4.9492 | Test Loss.: 4.9894
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 013/200   | Learning Rate 0.001000
Train Auc.: 0.9487 | Test Auc.: 0.9462
Train Loss.: 5.0630 | Test Loss.: 5.0612
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 014/200   | Learning Rate 0.001000
Train Auc.: 0.9471 | Test Auc.: 0.9441
Train Loss.: 14.2259 | Test Loss.: 14.2344
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 015/200   | Learning Rate 0.001000
Train Auc.: 0.9464 | Test Auc.: 0.9437
Train Loss.: 1.4112 | Test Loss.: 1.4083
Train Acc.: 0.0356 | Test Acc.: 0.0365
Epoch: 016/200   | Learning Rate 0.001000
Train Auc.: 0.5291 | Test Auc.: 0.5306
Train Loss.: 3.9662 | Test Loss.: 3.9924
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 017/200   | Learning Rate 0.001000
Train Auc.: 0.3313 | Test Auc.: 0.3320
Train Loss.: 8.2370 | Test Loss.: 8.2877
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 018/200   | Learning Rate 0.001000
Train Auc.: 0.6978 | Test Auc.: 0.6850
Train Loss.: 2.5820 | Test Loss.: 2.6045
Train Acc.: 0.0009 | Test Acc.: 0.0014
Epoch: 019/200   | Learning Rate 0.001000
Train Auc.: 0.9428 | Test Auc.: 0.9408
Train Loss.: 0.5415 | Test Loss.: 0.5398
Train Acc.: 0.2550 | Test Acc.: 0.2610
Epoch: 020/200   | Learning Rate 0.001000
