Epoch: 001/200   | Learning Rate 0.001000
Train Auc.: 0.6764 | Test Auc.: 0.6682
Train Loss.: 0.4705 | Test Loss.: 0.4651
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 002/200   | Learning Rate 0.001000
Train Auc.: 0.0605 | Test Auc.: 0.0616
Train Loss.: 1.5569 | Test Loss.: 1.5724
Train Acc.: 0.4268 | Test Acc.: 0.4196
Epoch: 003/200   | Learning Rate 0.001000
Train Auc.: 0.9146 | Test Auc.: 0.9138
Train Loss.: 2.1854 | Test Loss.: 2.1835
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 004/200   | Learning Rate 0.001000
Train Auc.: 0.7897 | Test Auc.: 0.7852
Train Loss.: 0.4195 | Test Loss.: 0.4152
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 005/200   | Learning Rate 0.001000
Train Auc.: 0.0968 | Test Auc.: 0.1004
Train Loss.: 0.3562 | Test Loss.: 0.3587
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 006/200   | Learning Rate 0.001000
Train Auc.: 0.1037 | Test Auc.: 0.1081
Train Loss.: 0.5262 | Test Loss.: 0.5314
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 007/200   | Learning Rate 0.001000
Train Auc.: 0.2525 | Test Auc.: 0.2602
Train Loss.: 0.2747 | Test Loss.: 0.2731
Train Acc.: 0.4969 | Test Acc.: 0.5032
Epoch: 008/200   | Learning Rate 0.001000
Train Auc.: 0.7621 | Test Auc.: 0.7572
Train Loss.: 0.4959 | Test Loss.: 0.4910
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 009/200   | Learning Rate 0.001000
Train Auc.: 0.8480 | Test Auc.: 0.8446
Train Loss.: 0.5086 | Test Loss.: 0.5036
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 010/200   | Learning Rate 0.001000
Train Auc.: 0.6449 | Test Auc.: 0.6419
Train Loss.: 0.3675 | Test Loss.: 0.3636
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 011/200   | Learning Rate 0.001000
Train Auc.: 0.1869 | Test Auc.: 0.1924
Train Loss.: 0.2762 | Test Loss.: 0.2769
Train Acc.: 0.4998 | Test Acc.: 0.4936
Epoch: 012/200   | Learning Rate 0.001000
Train Auc.: 0.1201 | Test Auc.: 0.1220
Train Loss.: 0.3443 | Test Loss.: 0.3469
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 013/200   | Learning Rate 0.001000
Train Auc.: 0.0933 | Test Auc.: 0.0984
Train Loss.: 0.3949 | Test Loss.: 0.3972
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 014/200   | Learning Rate 0.001000
Train Auc.: 0.1044 | Test Auc.: 0.1075
Train Loss.: 0.3003 | Test Loss.: 0.3007
Train Acc.: 0.4760 | Test Acc.: 0.4686
Epoch: 015/200   | Learning Rate 0.001000
Train Auc.: 0.4648 | Test Auc.: 0.4632
Train Loss.: 0.2596 | Test Loss.: 0.2608
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 016/200   | Learning Rate 0.001000
Train Auc.: 0.2676 | Test Auc.: 0.2668
Train Loss.: 0.2658 | Test Loss.: 0.2658
Train Acc.: 0.2981 | Test Acc.: 0.2993
Epoch: 017/200   | Learning Rate 0.001000
Train Auc.: 0.5025 | Test Auc.: 0.5045
Train Loss.: 0.3114 | Test Loss.: 0.3086
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 018/200   | Learning Rate 0.001000
Train Auc.: 0.6705 | Test Auc.: 0.6698
Train Loss.: 0.3295 | Test Loss.: 0.3262
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 019/200   | Learning Rate 0.001000
Train Auc.: 0.6251 | Test Auc.: 0.6261
Train Loss.: 0.3058 | Test Loss.: 0.3031
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 020/200   | Learning Rate 0.001000
Train Auc.: 0.4953 | Test Auc.: 0.4929
Train Loss.: 0.2693 | Test Loss.: 0.2679
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 021/200   | Learning Rate 0.001000
Train Auc.: 0.3349 | Test Auc.: 0.3408
Train Loss.: 0.2813 | Test Loss.: 0.2823
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 022/200   | Learning Rate 0.001000
Train Auc.: 0.3365 | Test Auc.: 0.3379
Train Loss.: 0.2690 | Test Loss.: 0.2701
Train Acc.: 0.5109 | Test Acc.: 0.5035
Epoch: 023/200   | Learning Rate 0.001000
Train Auc.: 0.4506 | Test Auc.: 0.4544
Train Loss.: 0.2557 | Test Loss.: 0.2560
Train Acc.: 0.5272 | Test Acc.: 0.5285
Epoch: 024/200   | Learning Rate 0.001000
Train Auc.: 0.4879 | Test Auc.: 0.4935
Train Loss.: 0.2527 | Test Loss.: 0.2522
Train Acc.: 0.4640 | Test Acc.: 0.4665
Epoch: 025/200   | Learning Rate 0.001000
Train Auc.: 0.6308 | Test Auc.: 0.6274
Train Loss.: 0.2447 | Test Loss.: 0.2445
Train Acc.: 0.5154 | Test Acc.: 0.5182
Epoch: 026/200   | Learning Rate 0.001000
Train Auc.: 0.6880 | Test Auc.: 0.6822
Train Loss.: 0.2401 | Test Loss.: 0.2398
Train Acc.: 0.5180 | Test Acc.: 0.5234
Epoch: 027/200   | Learning Rate 0.001000
Train Auc.: 0.7635 | Test Auc.: 0.7617
Train Loss.: 0.2500 | Test Loss.: 0.2487
Train Acc.: 0.4969 | Test Acc.: 0.5029
Epoch: 028/200   | Learning Rate 0.001000
Train Auc.: 0.7592 | Test Auc.: 0.7536
Train Loss.: 0.2281 | Test Loss.: 0.2283
Train Acc.: 0.7173 | Test Acc.: 0.7182
Epoch: 029/200   | Learning Rate 0.001000
Train Auc.: 0.7851 | Test Auc.: 0.7786
Train Loss.: 0.2268 | Test Loss.: 0.2267
Train Acc.: 0.5353 | Test Acc.: 0.5414
Epoch: 030/200   | Learning Rate 0.001000
Train Auc.: 0.7845 | Test Auc.: 0.7779
Train Loss.: 0.2137 | Test Loss.: 0.2150
Train Acc.: 0.7450 | Test Acc.: 0.7401
Epoch: 031/200   | Learning Rate 0.001000
Train Auc.: 0.8027 | Test Auc.: 0.8004
Train Loss.: 0.2061 | Test Loss.: 0.2069
Train Acc.: 0.7405 | Test Acc.: 0.7318
Epoch: 032/200   | Learning Rate 0.001000
Train Auc.: 0.8518 | Test Auc.: 0.8497
Train Loss.: 0.2357 | Test Loss.: 0.2344
Train Acc.: 0.4972 | Test Acc.: 0.5032
Epoch: 033/200   | Learning Rate 0.001000
Train Auc.: 0.8562 | Test Auc.: 0.8495
Train Loss.: 0.2003 | Test Loss.: 0.2009
