Epoch: 001/200   | Learning Rate 0.001000
Train Auc.: 0.4730 | Test Auc.: 0.4588
Train Loss.: 0.2508 | Test Loss.: 0.2509
Train Acc.: 0.4891 | Test Acc.: 0.4927
Epoch: 002/200   | Learning Rate 0.001000
Train Auc.: 0.9305 | Test Auc.: 0.9280
Train Loss.: 0.3653 | Test Loss.: 0.3642
Train Acc.: 0.4995 | Test Acc.: 0.5019
Epoch: 003/200   | Learning Rate 0.001000
Train Auc.: 0.2359 | Test Auc.: 0.2312
Train Loss.: 0.3352 | Test Loss.: 0.3366
Train Acc.: 0.5005 | Test Acc.: 0.4981
Epoch: 004/200   | Learning Rate 0.001000
Train Auc.: 0.8659 | Test Auc.: 0.8655
Train Loss.: 0.2195 | Test Loss.: 0.2192
Train Acc.: 0.7860 | Test Acc.: 0.7857
Epoch: 005/200   | Learning Rate 0.001000
Train Auc.: 0.8968 | Test Auc.: 0.8976
Train Loss.: 0.2442 | Test Loss.: 0.2435
Train Acc.: 0.4995 | Test Acc.: 0.5019
Epoch: 006/200   | Learning Rate 0.001000
Train Auc.: 0.8846 | Test Auc.: 0.8858
Train Loss.: 0.2140 | Test Loss.: 0.2137
Train Acc.: 0.5555 | Test Acc.: 0.5559
Epoch: 007/200   | Learning Rate 0.001000
Train Auc.: 0.8385 | Test Auc.: 0.8381
Train Loss.: 0.2097 | Test Loss.: 0.2095
Train Acc.: 0.7335 | Test Acc.: 0.7353
Epoch: 008/200   | Learning Rate 0.001000
Train Auc.: 0.8259 | Test Auc.: 0.8215
Train Loss.: 0.2135 | Test Loss.: 0.2141
Train Acc.: 0.6574 | Test Acc.: 0.6607
Epoch: 009/200   | Learning Rate 0.001000
Train Auc.: 0.8441 | Test Auc.: 0.8406
Train Loss.: 0.1869 | Test Loss.: 0.1873
Train Acc.: 0.7794 | Test Acc.: 0.7755
Epoch: 010/200   | Learning Rate 0.001000
Train Auc.: 0.8620 | Test Auc.: 0.8644
Train Loss.: 0.1896 | Test Loss.: 0.1886
Train Acc.: 0.7081 | Test Acc.: 0.7105
Epoch: 011/200   | Learning Rate 0.001000
Train Auc.: 0.8537 | Test Auc.: 0.8552
Train Loss.: 0.1857 | Test Loss.: 0.1851
Train Acc.: 0.7261 | Test Acc.: 0.7291
Epoch: 012/200   | Learning Rate 0.001000
Train Auc.: 0.8452 | Test Auc.: 0.8420
Train Loss.: 0.1719 | Test Loss.: 0.1733
Train Acc.: 0.7731 | Test Acc.: 0.7667
Epoch: 013/200   | Learning Rate 0.001000
Train Auc.: 0.8510 | Test Auc.: 0.8486
Train Loss.: 0.1678 | Test Loss.: 0.1699
Train Acc.: 0.7764 | Test Acc.: 0.7669
Epoch: 014/200   | Learning Rate 0.001000
Train Auc.: 0.8749 | Test Auc.: 0.8690
Train Loss.: 0.1500 | Test Loss.: 0.1533
Train Acc.: 0.7937 | Test Acc.: 0.7924
Epoch: 015/200   | Learning Rate 0.001000
Train Auc.: 0.8876 | Test Auc.: 0.8859
Train Loss.: 0.1512 | Test Loss.: 0.1525
Train Acc.: 0.7914 | Test Acc.: 0.7913
Epoch: 016/200   | Learning Rate 0.001000
Train Auc.: 0.8945 | Test Auc.: 0.8953
Train Loss.: 0.1318 | Test Loss.: 0.1326
