Epoch: 001/200   | Learning Rate 0.001000
Train Auc.: 0.3209 | Test Auc.: 0.3219
Train Loss.: 0.4785 | Test Loss.: 0.4769
Train Acc.: 0.4995 | Test Acc.: 0.5019
Epoch: 002/200   | Learning Rate 0.001000
Train Auc.: 0.0766 | Test Auc.: 0.0790
Train Loss.: 183.8253 | Test Loss.: 184.5273
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 003/200   | Learning Rate 0.001000
Train Auc.: 0.9266 | Test Auc.: 0.9265
Train Loss.: 87.6646 | Test Loss.: 87.7391
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 004/200   | Learning Rate 0.001000
Train Auc.: 0.9279 | Test Auc.: 0.9279
Train Loss.: 46.9423 | Test Loss.: 47.0499
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 005/200   | Learning Rate 0.001000
Train Auc.: 0.9214 | Test Auc.: 0.9209
Train Loss.: 1.0127 | Test Loss.: 1.0087
Train Acc.: 0.3020 | Test Acc.: 0.2986
Epoch: 006/200   | Learning Rate 0.001000
Train Auc.: 0.0814 | Test Auc.: 0.0824
Train Loss.: 8.0882 | Test Loss.: 8.1329
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 007/200   | Learning Rate 0.001000
Train Auc.: 0.0800 | Test Auc.: 0.0803
Train Loss.: 3.3343 | Test Loss.: 3.3447
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 008/200   | Learning Rate 0.001000
Train Auc.: 0.9245 | Test Auc.: 0.9253
Train Loss.: 15.2423 | Test Loss.: 15.2415
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 009/200   | Learning Rate 0.001000
Train Auc.: 0.9313 | Test Auc.: 0.9324
Train Loss.: 21.3347 | Test Loss.: 21.3330
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 010/200   | Learning Rate 0.001000
Train Auc.: 0.4063 | Test Auc.: 0.4201
Train Loss.: 0.4303 | Test Loss.: 0.4313
Train Acc.: 0.5005 | Test Acc.: 0.4981
Epoch: 011/200   | Learning Rate 0.001000
Train Auc.: 0.1000 | Test Auc.: 0.1031
Train Loss.: 20.6537 | Test Loss.: 20.6689
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 012/200   | Learning Rate 0.001000
Train Auc.: 0.1988 | Test Auc.: 0.1863
Train Loss.: 3.9909 | Test Loss.: 4.0185
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 013/200   | Learning Rate 0.001000
Train Auc.: 0.9440 | Test Auc.: 0.9413
Train Loss.: 9.9525 | Test Loss.: 9.9384
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 014/200   | Learning Rate 0.001000
Train Auc.: 0.9428 | Test Auc.: 0.9399
Train Loss.: 12.7205 | Test Loss.: 12.7179
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 015/200   | Learning Rate 0.001000
Train Auc.: 0.8844 | Test Auc.: 0.8852
Train Loss.: 0.3534 | Test Loss.: 0.3528
Train Acc.: 0.5326 | Test Acc.: 0.5328
Epoch: 016/200   | Learning Rate 0.001000
Train Auc.: 0.2939 | Test Auc.: 0.2946
Train Loss.: 11.3678 | Test Loss.: 11.3739
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 017/200   | Learning Rate 0.001000
Train Auc.: 0.5316 | Test Auc.: 0.5311
Train Loss.: 4.7962 | Test Loss.: 4.8125
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 018/200   | Learning Rate 0.001000
Train Auc.: 0.9434 | Test Auc.: 0.9400
Train Loss.: 1.1263 | Test Loss.: 1.1325
Train Acc.: 0.0743 | Test Acc.: 0.0762
Epoch: 019/200   | Learning Rate 0.001000
Train Auc.: 0.9475 | Test Auc.: 0.9461
Train Loss.: 7.6038 | Test Loss.: 7.6206
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 020/200   | Learning Rate 0.001000
Train Auc.: 0.9455 | Test Auc.: 0.9442
Train Loss.: 3.0970 | Test Loss.: 3.0938
Train Acc.: 0.0024 | Test Acc.: 0.0031
Epoch: 021/200   | Learning Rate 0.001000
Train Auc.: 0.8936 | Test Auc.: 0.8890
Train Loss.: 0.5355 | Test Loss.: 0.5363
Train Acc.: 0.4191 | Test Acc.: 0.4130
Epoch: 022/200   | Learning Rate 0.001000
