Epoch: 001/200   | Learning Rate 0.001000
Train Auc.: 0.5265 | Test Auc.: 0.5323
Train Loss.: 0.4502 | Test Loss.: 0.4448
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 002/200   | Learning Rate 0.001000
Train Auc.: 0.0716 | Test Auc.: 0.0742
Train Loss.: 6.0919 | Test Loss.: 6.1294
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 003/200   | Learning Rate 0.001000
Train Auc.: 0.9439 | Test Auc.: 0.9405
Train Loss.: 1.5605 | Test Loss.: 1.5483
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 004/200   | Learning Rate 0.001000
Train Auc.: 0.9428 | Test Auc.: 0.9412
Train Loss.: 2.4076 | Test Loss.: 2.3953
Train Acc.: 0.0000 | Test Acc.: 0.0000
Epoch: 005/200   | Learning Rate 0.001000
Train Auc.: 0.8392 | Test Auc.: 0.8370
Train Loss.: 0.9177 | Test Loss.: 0.9080
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 006/200   | Learning Rate 0.001000
Train Auc.: 0.2806 | Test Auc.: 0.2907
Train Loss.: 0.2642 | Test Loss.: 0.2628
Train Acc.: 0.4969 | Test Acc.: 0.5030
Epoch: 007/200   | Learning Rate 0.001000
Train Auc.: 0.2625 | Test Auc.: 0.2614
Train Loss.: 0.4561 | Test Loss.: 0.4627
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 008/200   | Learning Rate 0.001000
Train Auc.: 0.1531 | Test Auc.: 0.1596
Train Loss.: 0.3760 | Test Loss.: 0.3791
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 009/200   | Learning Rate 0.001000
Train Auc.: 0.8974 | Test Auc.: 0.8971
Train Loss.: 0.8178 | Test Loss.: 0.8092
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 010/200   | Learning Rate 0.001000
Train Auc.: 0.9058 | Test Auc.: 0.9064
Train Loss.: 1.3572 | Test Loss.: 1.3460
Train Acc.: 0.0164 | Test Acc.: 0.0169
Epoch: 011/200   | Learning Rate 0.001000
Train Auc.: 0.0790 | Test Auc.: 0.0806
Train Loss.: 0.4276 | Test Loss.: 0.4302
Train Acc.: 0.5012 | Test Acc.: 0.4958
Epoch: 012/200   | Learning Rate 0.001000
Train Auc.: 0.1100 | Test Auc.: 0.1089
Train Loss.: 1.7228 | Test Loss.: 1.7410
Train Acc.: 0.2182 | Test Acc.: 0.2151
Epoch: 013/200   | Learning Rate 0.001000
Train Auc.: 0.1633 | Test Auc.: 0.1675
Train Loss.: 0.4103 | Test Loss.: 0.4125
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 014/200   | Learning Rate 0.001000
Train Auc.: 0.9002 | Test Auc.: 0.9006
Train Loss.: 1.0736 | Test Loss.: 1.0649
Train Acc.: 0.2078 | Test Acc.: 0.2137
Epoch: 015/200   | Learning Rate 0.001000
Train Auc.: 0.9291 | Test Auc.: 0.9289
Train Loss.: 1.4133 | Test Loss.: 1.4036
Train Acc.: 0.0132 | Test Acc.: 0.0118
Epoch: 016/200   | Learning Rate 0.001000
Train Auc.: 0.9098 | Test Auc.: 0.9106
Train Loss.: 0.9352 | Test Loss.: 0.9267
Train Acc.: 0.4578 | Test Acc.: 0.4659
Epoch: 017/200   | Learning Rate 0.001000
Train Auc.: 0.2885 | Test Auc.: 0.2849
Train Loss.: 0.3325 | Test Loss.: 0.3358
Train Acc.: 0.5024 | Test Acc.: 0.4959
Epoch: 018/200   | Learning Rate 0.001000
Train Auc.: 0.1226 | Test Auc.: 0.1194
Train Loss.: 0.5550 | Test Loss.: 0.5593
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 019/200   | Learning Rate 0.001000
Train Auc.: 0.1571 | Test Auc.: 0.1524
Train Loss.: 1.1122 | Test Loss.: 1.1253
Train Acc.: 0.4827 | Test Acc.: 0.4779
Epoch: 020/200   | Learning Rate 0.001000
Train Auc.: 0.1309 | Test Auc.: 0.1332
Train Loss.: 0.5712 | Test Loss.: 0.5763
Train Acc.: 0.5031 | Test Acc.: 0.4969
Epoch: 021/200   | Learning Rate 0.001000
Train Auc.: 0.1225 | Test Auc.: 0.1250
Train Loss.: 0.3065 | Test Loss.: 0.3059
Train Acc.: 0.2592 | Test Acc.: 0.2618
Epoch: 022/200   | Learning Rate 0.001000
Train Auc.: 0.5266 | Test Auc.: 0.5084
Train Loss.: 0.3446 | Test Loss.: 0.3420
Train Acc.: 0.4969 | Test Acc.: 0.5031
Epoch: 023/200   | Learning Rate 0.001000
Train Auc.: 0.8720 | Test Auc.: 0.8640
Train Loss.: 0.4880 | Test Loss.: 0.4827
